artist,0,1,2,3,4,5,6,7,8,9
Aha Gazelle,7.130435171783263e-05,0.0,0.0,0.0,0.00013185057290006057,0.0002660968243331255,0.0,0.0,4.4490621945352874e-05,0.0
Air Traffic Controller,0.0,0.0,0.062431931536597665,0.021452939232132918,0.0,0.0,0.0,0.0,0.0005987447539551789,0.0
Aiza Seguerra,0.0,0.0,0.0,0.00014501586835007318,0.0007500371245144762,0.00033266249810172003,0.0,0.0,0.0,0.004369378484807903
Akapellah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6224626793550647e-05,0.0
Akhil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019862328543894588,0.0
Alabama Shakes,0.0,0.0,0.0,0.0,0.2699662251086183,0.0,0.06274100105773607,0.0,0.0,0.0
Alan Jackson,0.0,0.0007921923491565786,0.0,0.002933941784435691,1.4147403454991509e-05,0.0,0.0,0.0,0.0,0.0
Alan Walker & Sorana,0.0,0.0,0.0,0.016124276914867064,0.0,0.0,0.0,0.0,0.0,0.0
Alba Reche,0.0,0.0,0.0,1.606802942016717e-05,0.0,0.0,0.0,0.0,2.6551791842877364e-05,2.2041238187764433e-06
Alban Skenderaj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2671358165689862e-08
Albert Camus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albert King,0.0,0.12045601788994406,0.0,0.0,0.0,0.0,0.003125966291890477,0.0,0.0,0.0
Alborosie,0.0,0.0,0.0,5.456509703810168e-06,0.0,0.0,0.0,0.0,0.0,7.582278676039265e-05
Alcest,0.0,0.0,0.00163540382883583,0.0,0.0,0.03130322766640326,0.0,0.0,0.0,0.0
Alec Benjamin,0.0,0.0,0.0,0.1697930156802385,0.0,0.0,0.0,0.0,0.0,0.0
Alejandro Fernández,0.0,0.0,0.0,0.0038101035215237352,0.0,0.0,0.0,0.0,0.0,0.0
Alejandro Sanz,0.0,0.0,0.0,0.0038293782953843685,0.0,0.0,0.0,0.0,0.0,0.0
Alex Aiono,0.0,0.0,0.0,0.08411647783711289,0.0,0.0,0.0,0.0,0.0,0.0
Alex Anwandter,0.0,0.0,4.7140370124577985e-06,0.0,0.0,0.0,0.0,0.0,7.30491465550406e-05,0.0
Alextbh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10342685711136224,0.0
Ali Gatie,0.0,0.0,0.0,0.17059794859139024,0.0,0.0,0.0,0.0,0.0,0.0
Alice Cooper,0.0,0.26581029189862887,0.0,0.0,0.0,0.08773015920034324,0.0,0.0,0.0,0.0
Alicia Keys,0.0,0.0,0.0,0.13760403327367118,0.0,0.0,0.4155756249928063,0.0,0.0,0.0
Alina Baraz,0.10194863615193525,0.0,0.0,0.2169037443884581,0.0,0.0,0.0,0.0,0.2473766295947764,0.0
Alison Krauss & Union Station,0.0,0.033183477560845435,0.0,0.0,0.2986111403318628,0.0,0.0,0.0,0.0,0.0
Alkaline,0.0,0.0,0.012473326374318085,0.00044899945255116034,0.0,0.02211539548640609,0.0,0.0,0.0,0.005631974910887222
All That Remains,0.0,0.0,0.0,0.0,0.0,0.4242176699805653,0.0,0.0,0.0,0.0
All Them Witches,0.0,0.0,0.21271291465664177,0.0,0.0,0.08252668514830529,0.0026316293550820995,0.0,0.0,0.0
All Time Low,0.0,0.0,0.08139207325198036,0.07091105949880237,0.0,0.030062205058896792,0.0,0.0,0.0,0.0
Alle Farben,0.0,0.0,0.0,0.06735333649574948,0.0,0.0,0.0,0.0,0.0,0.0
Allie X,0.0,0.0,0.2487463458273233,0.340899795025769,0.0,0.0,0.0,0.0,0.3156014455524097,0.0
Alonzo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alpa Gun,0.0,0.0,0.0,6.547800958445366e-06,0.0,0.0,0.0,0.0,0.0,3.5305377726120735e-05
Alpha 5.20,2.861347812263839e-05,0.0,0.0,0.0,0.0,1.6981378534293878e-06,0.0,0.0,1.1226677711395248e-05,2.2475944874232576e-06
Alphaville,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5552262442086277
Ambar Lucid,0.0,0.0,0.001696287156875927,0.0017549807471826553,0.00024083431786475084,0.0,0.0,0.0,0.0016602174505948634,0.0
Ameer Vann,0.26546345630614493,0.0,0.0,0.0,0.0,0.0,0.0058923083536768376,0.13688674996600916,0.011215176805188628,0.0
Amigdala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.980335880022608e-07,0.0
